Altitude,ax,ay,az
1527.11-1.84,-0.22,"9.06
"
1526.91-1.98,-0.23,"8.98
"
1527.58-1.98,-0.24,"8.97
"
1526.63-1.87,-0.17,"9.01
"
1527.39-1.86,-0.21,"9.05
"
1527.20-1.87,-0.23,"9.11
"
1527.30-1.96,-0.25,"9.03
"
1527.68-1.92,-0.24,"8.99
"
1527.20-1.83,-0.16,"8.91
"
1527.11-1.84,-0.16,"9.01
"
1526.63-1.81,-0.21,"9.08
"
1527.11-1.97,-0.20,"9.00
"
1527.39-1.88,-0.23,"9.01
"
1527.20-1.88,-0.19,"9.05
"
1527.87-1.85,-0.17,"9.05
"
1527.77-1.85,-0.20,"9.04
"
1526.34-1.91,-0.23,"9.02
"
1526.91-1.93,-0.22,"8.97
"
1527.68-1.92,-0.24,"8.98
"
1527.49-1.83,-0.19,"9.05
"
1527.30-1.84,-0.18,"9.03
"
1527.49-1.86,-0.24,"9.01
"
1527.39-1.90,-0.19,"9.05
"
1527.01-1.84,-0.25,"9.06
"
1526.53-1.88,-0.17,"9.07
"
1527.20-1.84,-0.23,"9.01
"
1527.11-1.79,-0.22,"9.05
"
1527.39-1.86,-0.17,"9.06
"
1527.58-1.94,-0.26,"9.02
"
1526.44-1.88,-0.27,"9.00
"
1526.91-1.85,-0.19,"9.07
"
1526.53-1.84,-0.25,"8.95
"
1527.20-1.85,-0.14,"9.00
"
1527.68-1.94,-0.20,"8.97
"
1527.30-1.97,-0.21,"8.99
"
1527.30-1.93,-0.25,"9.00
"
1527.49-1.84,-0.18,"9.12
"
1526.82-1.81,-0.24,"9.08
"
1527.39-1.80,-0.19,"9.06
"
1527.39-1.90,-0.23,"8.96
"
1527.20-1.87,-0.25,"9.07
"
1527.68-1.93,-0.23,"8.97
"
1527.01-1.85,-0.28,"8.96
"
1527.11-1.90,-0.23,"9.00
"
1527.30-1.86,-0.20,"9.05
"
1526.91-1.90,-0.24,"8.98
"
1527.39-1.98,-0.21,"8.96
"
1527.30-1.92,-0.25,"9.04
"
1526.91-1.88,-0.21,"9.11
"
1527.20-1.79,-0.19,"8.97
"
1527.30-1.86,-0.23,"9.00
"
1527.39-1.91,-0.23,"9.00
"
1526.63-1.89,-0.24,"8.90
"
1526.72-1.91,-0.22,"9.10
"
1526.53-1.87,-0.20,"9.05
"
1526.82-1.88,-0.24,"8.99
"
1526.82-1.91,-0.20,"9.01
"
1527.11-1.82,-0.29,"9.15
"
1526.63-1.89,-0.22,"9.03
"
1526.82-1.92,-0.21,"9.07
"
1526.82-1.92,-0.28,"8.98
"
1527.11-1.80,-0.25,"9.01
"
1527.49-1.82,-0.17,"9.08
"
1527.49-1.89,-0.23,"9.00
"
1527.11-1.91,-0.25,"8.90
"
1527.30-1.83,-0.22,"9.02
"
1527.20-1.85,-0.19,"9.01
"
1527.11-1.94,-0.24,"9.07
"
1527.20-1.93,-0.29,"8.96
"
1526.91-1.83,-0.22,"9.08
"
1527.30-1.95,-0.20,"8.96
"
1527.68-1.95,-0.18,"8.98
"
1527.11-1.92,-0.28,"9.06
"
Altitude,ax,ay,az
Altitude,ax,ay,az
1527.87,-1.91,-0.28,8.95
1527.20,-1.90,-0.19,8.99
1527.20,-1.84,-0.18,9.11
1527.58,-1.87,-0.24,9.05
1527.30,-1.86,-0.20,9.08
1527.39,-1.84,-0.24,9.04
1527.01,-1.91,-0.20,9.06
1527.20,-1.89,-0.17,9.09
1527.20,-1.89,-0.22,9.06
1527.11,-1.90,-0.30,9.10
1527.01,-1.89,-0.17,9.01
1527.49,-1.91,-0.24,9.05
1527.20,-1.86,-0.20,9.00
1527.49,-1.83,-0.25,8.98
1527.30,-1.90,-0.20,9.02
1527.11,-1.86,-0.27,9.11
1527.20,-1.91,-0.24,8.94
1527.30,-1.82,-0.26,9.06
1526.91,-1.88,-0.20,9.12
1527.20,-1.84,-0.22,9.11
1527.68,-1.82,-0.25,9.01
1527.20,-1.88,-0.22,8.95
1527.20,-1.85,-0.19,9.12
1527.39,-1.86,-0.20,8.96
1527.30,-1.84,-0.21,8.95
1527.20,-1.91,-0.18,9.09
1527.58,-1.84,-0.22,9.00
1527.01,-1.85,-0.20,9.06
1526.91,-1.85,-0.25,9.03
1526.82,-1.88,-0.21,9.06
1526.82,-1.83,-0.19,9.04
1526.44,-1.89,-0.20,9.09
1527.01,-1.86,-0.19,8.97
1526.24,-1.86,-0.20,8.99
1527.01,-1.85,-0.21,9.04
1526.82,-1.91,-0.23,8.88
1526.63,-1.87,-0.18,9.00
1526.91,-1.87,-0.23,9.06
1526.82,-1.85,-0.21,9.09
1526.72,-1.88,-0.23,9.08
1527.30,-1.89,-0.23,9.00
1526.72,-1.91,-0.18,9.02
1526.82,-1.89,-0.18,9.02
1526.53,-1.85,-0.20,8.92
1527.11,-1.83,-0.24,8.99
1526.82,-1.80,-0.23,9.02
1527.39,-1.91,-0.18,9.03
1527.49,-1.85,-0.18,8.95
1526.63,-1.85,-0.19,9.03
1527.01,-1.88,-0.24,9.07
1527.01,-1.87,-0.21,9.07
1527.20,-1.92,-0.17,8.94
1527.39,-1.83,-0.24,9.02
1527.20,-1.81,-0.24,9.06
1526.82,-1.90,-0.24,9.02
1526.44,-1.88,-0.26,9.05
1526.24,-1.87,-0.20,9.11
1526.15,-1.87,-0.22,9.07
1527.58,-1.87,-0.26,9.00
1527.20,-1.89,-0.25,9.01
1526.72,-1.85,-0.19,9.09
1526.91,-1.85,-0.23,9.00
1526.72,-1.88,-0.20,9.08
1526.15,-1.82,-0.24,8.99
1527.01,-1.87,-0.21,9.05
1527.01,-1.88,-0.23,9.02
1526.82,-1.82,-0.27,8.94
1527.20,-1.89,-0.25,9.08
1527.49,-1.88,-0.21,9.04
1527.01,-1.85,-0.23,9.14
1527.39,-1.88,-0.24,9.05
1527.49,-1.96,-0.27,8.93
1527.87,-1.88,-0.20,8.99
1527.49,-1.88,-0.21,9.01
1527.11,-1.87,-0.28,9.00
1527.11,-1.86,-0.20,9.07
1527.30,-1.92,-0.23,9.00
1527.01,-1.92,-0.21,9.05
1527.39,-1.91,-0.24,9.05
1527.30,-1.90,-0.17,9.07
1527.68,-1.88,-0.21,9.09
1527.01,-1.86,-0.19,9.07
1526.82,-1.96,-0.25,8.94
1527.30,-1.80,-0.21,9.13
1527.20,-1.83,-0.23,8.96
1527.11,-1.86,-0.25,9.07
1527.11,-1.88,-0.19,8.95
1527.01,-1.90,-0.23,8.97
1527.49,-1.85,-0.22,9.07
1527.20,-1.90,-0.25,9.04
1527.68,-1.91,-0.24,9.06
1527.49,-1.85,-0.19,9.02
1527.39,-1.88,-0.24,8.96
1527.39,-1.85,-0.25,9.04
1527.77,-1.90,-0.22,9.03
